id_ciudad ;nombre_ciudad ;id_pais
347;DAKOTA DEL NORTE;2
348;DAKAR;73
349;CUZCO;3
350;CURITIBA;34
351;CURACAO;11
352;CUMARIBO;1
353;CULIACAN;6
354;CUENCA;9
355;CUCUTA;1
356;CRAVO NORTE;1
357;COZUMEL;6
358;COVENAS;1
359;COTONU;56
360;CORRIENTES CAMBAPUNTA;19
361;COROZAL;1
362;CORDOBA;19
363;COPENHAGEN;52
364;CONNECTICUT;2
365;CONDOTO;1
366;CONAKRY;72
367;COMODORO;19
368;COLUMBUS;2
369;COLORADO;2
370;CODAZZI;1
371;CIUDAD DEL ESTE;77
372;CINCINATTI;2
373;CIMITARRA;1
374;CIENAGA;1
375;CHUBUT;19
376;CHIHUAHUA;6
377;CHICAGO;2
378;CHIA;1
379;CHARLESTON;2
380;CHAPARRAL;1
381;CHAMPAIGN;2
382;CAUCASIA;1
383;CATAMARCA;19
384;CASABLANCA;55
385;CARURU;1
386;CARTAGO;1
387;CARTAGENA;1
388;CAROLINA DEL SUR;2
389;CAREPA;1
390;CARDIFF;26
391;CARACAS;8
392;CARABOBO;8
393;CAPURGANA;1
394;CANDELARIA;1
395;CANCUN;6
396;CAMPOALEGRE;1
397;CALIFORNIA;2
398;CALI;1
399;CALGARY;43
400;BUENOS AIRES;19
401;BUENAVENTURA;1
402;BUDAPEST;54
403;BUCAREST;64
404;BUCARAMANGA;1
405;BRUSELAS;47
406;BRISTOL ;26
407;BRIDGENTOWN;13
408;BRASILIA;34
409;BOZE,AM;2
410;BOUGUENAIS;15
411;BOSTON;2
412;BOSCONIA;1
413;BORDEAUX;15
414;BONAIRE;11
415;BOLOGNA;4
416;BOGOTA;1
417;BIRMINGHAN;26
418;BILLUND;52
419;BILBAO;12
420;BIARRITZ;15
421;BERMUDAS;45
422;BERLIN;21
423;BELO HORIZONTE;34
424;BELIZE;14
425;BEIRUT;51
426;BEIJING;65
427;BEEK;46
428;BECERRIL;1
429;BASEL;44
430;BARRANQUILLA;1
431;BARRANCABERMEJA;1
432;BARQUISIMETO;8
433;BARILOCHE;19
434;BARCELONA;12
435;BALBOA;5
436;BAJO BAUDO;1
437;BAHIA SOLANO;1
438;BAHIA BLANCA;19
439;AYAPEL;1
440;AUCKLAND;66
441;ATLANTIC CITY;2
442;ATLANTA;2
443;ATENAS;84
444;ASUNCION;77
445;ARUBA;11
446;ARMSTRONG;43
447;ARMENIA;1
448;ARKANSAS;2
449;ARIZONA;2
450;ARIGUANI;1
451;ARGEL;71
452;ARAUCA - MUNICIPIO;1
453;ANZOATEGUI;8
454;ANTOFAGASTA;36
455;ANKARA;59
456;AMSTERDAM;46
457;AMM;49
458;ALICANTE;12
459;ALDANA;1
460;ALABAMA;2
461;AKTAU;91
462;AIME CESAIRE;20
463;AGUAZUL;1
464;AGUACHICA;1
465;ADIS ABEBA;90
466;ACCRA;83
467;ACAPULCO;6
468;ACANDI;1
469;ABU DHABI;18
470;ABIDJAN;48
471;ABENDEEN;26
