id_aeropuerto;nombre_aeropuerto;id_ciudad
MGU;SAN MIGUEL - VAUPES;207
MIS;SANTA ISABEL - VAUPES;207
MSO;SONAÑA;207
MTC;PAPUNAGUA - PTO. SOLANO;207
MUR;TAPURUCUARA;207
MVA;VILLA GLADYS;207
MYY;YAVARATE;207
MIC;IBACABA;207
MKA;KAMANAOS;207
MCL;CAÑO COLORADO;207
MSA;SAN ANTONIO;207
MSI;SANTA LUCIA - VAUPES;207
MSR;SANTA RITA;207
MWA;WAINAMBI;207
MWY;WASAY;207
MSN;SAN PABLO - VAUPES;207
MTT;CACHIPORRO;207
A13;MIRITI PARANA;208
MFS;MIRAFLORES;209
RST;ROCHESTER INTL;210
MSP;MINNEAPOLIS ST PAUL INTL;211
MXP;MALPENSA;212
PSA;PISA/S. GIUSTO (MIL);212
GRR;KENT COUNTRY;213
BTL;W K KELLOGG;213
MIA;MIAMI INTL;214
MEX;LICENCIADO BENITO JUAREZ INTL;215
NLU;FELIPE ANGELES INTL;215
GJT;GRAND JUNCTION REGIONAL AIRPORT;216
MID;MANUEL CRECENCIO INTERNACIONAL;217
MDZ;EL PLUMILLERO;218
MEM;MEMPHIS INTERNATIONATIONAL;219
EOH;MEDELLIN - OLAYA HERRERA;220
BWI;BALTIMORE WASHINGTON INTERNAL;221
MHH;MARSH HARBOUR;222
MRS;MARSELLA - PROVENZA;223
RAK;MARRAKECH;224
MQU;JOSE CELESTINO MUTIS - MARIQUITA;225
MAR;LA CHINITA INTL;226
MDQ;MAR DE LA PLATA;227
MAP;MAPIRIPAN;228
MEC;ELOY ALFARO INTL;229
MZL;MANIZALES - LA NUBIA;230
MNL;NINOY AQUINO;231
ORU;EL MEDANO;232
MHK;MANHATHAN - MANCHSTER;233
MHT;MANCHESTER - NEW HAMPSHIRE;233
MAN;MANCHESTER AIRPORT;233
MAO;EDUARDO GOMES INTL;234
MGA;MANAGUA INTL;235
MLA;LUQA INTERNATIONAL;236
AGP;MALAGA;237
SSG;AEROPUERTO DE MALABO-SANTA ISABEL;238
LMA;JORGE ISAACS (ANTES LA MINA);239
MAD;BARAJAS;240
PMI;PALMA DE MAYORCA;240
FNC;MADEIRA;241
LYS;LYON;242
LUX;LUXEMBOURG;243
LAX;LOS ANGELES INTL;244
LOC;LOPEZ DE MICAI;245
LHR;HEATHROW;246
YXU;" 	LONDON INTL.";246
LLO;CALENTURITAS;247
LIS;LISBOA;248
LPI;LINKÖPING/SAAB AIRPORT;249
LIM;CALLAO /INTL JORGE CHAVEZ;250
TAP;TARAPACA;251
LET;LETICIA-ALFREDO VASQUEZ COBO;251
PUR;PUERTO ARICA;251
BJX;GUANAJUATO /INTL;252
LAS;LAS VEGAS;253
HND;HENDERSON EXECUTIVE;253
LRM;LA ROMANA;254
PIM;LA PRIMAVERA;255
LPR;EL CIMARRON;255
7IV;AKAE;255
9DE;LUNA PARK;255
LPD;LA PEDRERA;256
LPB;EL ALTO INTERNACIONAL;257
LMC;LA MACARENA - META;258
7GL;LA JAGUA;259
LEV;LA GAVIOTA - VICHADA;260
LCG;LA CORUÑA;261
LCH;LA CHORRERA - VIRGILIO BARCO VARGAS;262
KWI;INTERNATIONAL KUWAIT;263
KUL;SEPANG;264
TYS;MC GHEE TYSO;265
KIN;NORMAN MANLEY INTL;266
LEX;BLUE GRASS - LEXINGTON;267
SDF;LOUIS VILLE / STANDIFORD;267
KEF;REYKJAVIK;268
ICT;WICHITA MID CONTINENT;269
MCI;AEROPUERTO MID CONTINETAL;269
JUR;JURADO;270
JUJ;JUJUY, J.;271
JNB;INTER JOHANNESBURG;272
JAN;JACKSON;273
